Company Common Name,Instrument,Issuer Ticker
Air Products and Chemicals Inc,APD.N,APD
Fuel Systems Solutions Inc,FSYS.OQ^F16,WPRTF
Air T Inc,AIRT.OQ,AIRT
Airgas Inc,ARG.N^E16,AIRPG
Gentex Corp,GNTX.OQ,GNTX
Akorn Inc,AKRXQ.PK^J20,AKN
Clearone Inc,CLRO.OQ,CLRO
Giftify Inc,GIFT.OQ,GIFT
Genuine Parts Co,GPC.N,GPC
Alaska Air Group Inc,ALK.N,ALK
Atrion Corp,ATRI.OQ^H24,NDSNAO
Albany International Corp,AIN.N,AIN
Genzyme Corp,GENZ.OQ^D11,SASYGE
Axiall Corp,AXLL.N^H16,WLKAX
Alberto-Culver Co,ACV.N^K06,UNALB
Georgia-Pacific LLC,GP.N^L05,KOCHGE
Alcan Inc,AL.TO^K07,RIOXAN
European Equity Fund Inc,EEA.N,EEA
Getty Realty Corp,GTY.N,GTY
Gresham Worldwide Inc,GIGAQ.PK,GIGAQ
Glacier Bancorp Inc,GBCI.N,GBCI
Cortland Bancorp,CLDB.OQ^K21,FMNMSC
Magnera Corp,MAGN.N,MAGNX
Smartcool Systems Inc,SSCh.V^L24,
Matson Inc,MATX.N,MATX
Alexander's Inc,ALX.N,ALX
Baffinland Iron Mines Corp,BIM.TO^D11,BIRMS
Algoma Central Corp,ALC.TO,ALC
HLS Therapeutics Inc,HLS.TO,HLS
Alico Inc,ALCO.OQ,ALCO
Globex Mining Enterprise Inc,GMX.TO,
ATI Inc,ATI.N,ATI
Alleghany Corp,Y^J22,BRKAH
Allegheny Energy Inc,AYE.N^B11,FEALL
Allergan Inc,AGN.N^C15,ABBVVA
AllianceBernstein Holding LP,AB.N,ABY
Alliance HealthCare Services Inc,AIQ.O^H17,STPKML
Lucero Energy Corp,LOU.V^C25,VTSLRE
Northrop Grumman Innovation Systems LLC,OA.N^F18,NOCNOR
Honeywell International Inc,HON.OQ,HON
Gold Reserve Ltd,GRZ.V,GRZ
Greenfirst Forest Products Inc,GFP.TO,GFP
Goldcorp Inc,G.TO^D19,NEMLD
Allied Waste Industries LLC,AW.N^L08,RSGAL
Liberty All-Star Growth Fund Inc,ASG.N,
Invesco Municipal Income Opportunities Trust,OIA.N,
Kirkland Lake Gold Inc (Pre-Merger),KLG.TO^L16,KLDKG
Sociedad Matriz del Banco de Chile SA en liquidacion,CHI_pb.SN^F19,QUINES
Golden Band Resources Inc,GBRIF.PK,
MTY Food Group Inc,MTY.TO,MTY
Skyworks Solutions Inc,SWKS.OQ,SWKS
Innovative Food Holdings Inc,IVFH.PK,
Golden Enterprises Inc,GLDC.O^J16,UTZQFG
Altera Corp,ALTR.OQ^L15,INTCAL
Altex Industries Inc,ALTX.PK,ALTX
Howmet Aerospace Inc,HWM.N,HWM
Golden Star Resources Ltd,GSC.TO^B22,GUORBG
Titan Logix Corp,TLA.V,
Golden West Financial Corp (Oakland),GDW.N^J06,GDWCL
Goldfield Corp,GV.A^L20,FRUTVO
Hess Corp,HES.N^G25,HES
Jaguar Mining Inc,JAG.TO,JAG
Greystone Housing Impact Investors LP,GHI.N,GHIPT
Western Pacific Trust Co,WP.V,WPX
Bankers Petroleum Ltd (Pre-Merger),BNK.TO^J16,
Orygen Peru SAA,ORYGENC1.LM,ENGEP
Goodfellow Inc,GDL.TO,GDLX
Goodheart-Willcox Company Inc,GWOX.PK,
Luz del Sur SAA,LUSURC1.LM,LUSUR
Goodrich Corp,GR.N^G12,RTXGOO
Goodyear Tire & Rubber Co,GT.OQ,GT
Barrick Mining Corp,ABX.TO,ABX
American Biltrite Inc,ABLT.PK,ABLT
QHSLab Inc,USAQ.PK,QHSLB
ABM Industries Inc,ABM.N,ABMX
Gorman-Rupp Co,GRC.N,GRCXX
Graco Inc,GGG.N,GGG
Graham Corp,GHM.N,GHMX
WW Grainger Inc,GWW.N,GWW
Granite Construction Inc,GVA.N,GVA
US Ecology Inc,ECOL.OQ^E22,RSGUSE
American Electric Power Company Inc,AEP.OQ,AEP
American Express Co,AXP.N,AXP
Hearthstone Utilities Inc,EGAS.A^H17,GPBSNH
Tivity Health Inc,TVTY.OQ^F22,TVTYOT
Great Southern Bancorp Inc,GSBC.OQ,GSBC
Wyeth LLC,WYE.N^J09,PFEWY
Great-West Lifeco Inc,GWO.TO,GWO
Phoenix Footwear Group Inc,PXFG.PK,PXFG
Skychain Technologies Inc,SCTh.V,
InMed Pharmaceuticals Inc,INM.OQ,
Fuse Medical Inc,FZMD.PK,
Principal Solar Inc,PSWW.PK,PSWW
Greif Inc,GEF.N,GEF
CGI Inc,GIBa.TO,GIB
Transat AT Inc,TRZ.TO,TRZ
American National Group LLC,ANAT.OQ^E22,BNREAN
Envela Corp,ELA.A,ELA
Schneider Electric IT Corp,APCC.OQ^B07,SCHNEI
Guardian Capital Group Ltd,GCGa.TO,GCG
Icahn Enterprises LP,IEP.OQ,IEP
American Realty Investors Inc,ARL.N,ARL
American Science and Engineering Inc,ASEI.O^I16,OSISA
American Shared Hospital Services,AMS.A,AMS
Archon Minerals Ltd,ACS.V,
Logility Supply Chain Solutions Inc,LGTY.OQ^D25,LGSCU
Camden Property Trust,CPT.N,CPT
abrdn Healthcare Investors,HQH.N,
Omega Healthcare Investors Inc,OHI.N,OHI
Limitless Venture Group Inc,LVGI.PK,
American Vanguard Corp,AVD.N,AVDXX
American Woodmark Corp,AMWD.OQ,AMWD
Haemonetics Corp,HAE.N,HAE
Hallador Energy Co,HNRG.OQ,HNRGX
Halliburton Co,HAL.N,HAL
Sterling Infrastructure Inc,STRL.OQ,STRLX
Acura Pharmaceuticals Inc,ACUR.PK,ACUR
Hammond Manufacturing Company Ltd,HMMa.TO,
Hancock Whitney Corp,HWC.OQ,HWC
Hanger Inc,HNGR.N^J22,PATITH
Roper Technologies Inc,ROP.OQ,ROP
Harley-Davidson Inc,HOG.N,HOG
Harleysville Financial Corp,HARL.PK,HARLX
Harman International Industries Inc,HAR.N^C17,SAMECR
Equity Residential,EQR.N,EQR
Komatsu Mining Corp,JOY.N^D17,KOMSUO
Tekumo Inc,TKMO.PK,TKMO
L3Harris Technologies Inc,LHX.N,LHXX
Enviri Corp,NVRI.N,NVRI
Orrstown Financial Services Inc,ORRF.OQ,ORRF
Inversiones Centenario SAA,INVCENC1.LM,INVCX
Hasbro Inc,HAS.OQ,HAS
Amgen Inc,AMGN.OQ,AMGN
Allient Inc,ALNT.OQ,AMOTX
Haverty Furniture Companies Inc,HVT.N,HVT
Hawaiian Electric Industries Inc,HE.N,HE
Hawkins Inc,HWKN.OQ,HWKN
Healthcare Services Group Inc,HCSG.OQ,HCSG
Healthpeak Properties Inc,DOC.N,DOC
Encompass Health Corp,EHC.N,EHC
Health Management Associates LLC,HMA.N^A14,CYHMN
EQC Liquidating Trust,EQC.N^E25,EQCLI
Welltower Inc,WELL.N,WELL
Heartland Express Inc,HTLD.OQ,HTLD
Hecla Mining Co,HL.N,HL
BioSyent Inc,RX.V,
HEICO Corp,HEI.N,HEI
