Company Common Name,Instrument,Issuer Ticker,GVKEY,Compustat_Company_Name
Banco Pichincha SAA,BPICHC1.LM,BPICH,,
Marijuana Company Of America Inc,MCOA.PK,,,
Volcan Compania Minera SAA,VOLCAAC1.LM,VOLCA,,
Alicorp SAA,ALICORC1.LM,ALICX,,
Carboclor SA,CARCm.BA,CARC,,
Grupo Nutresa SA,NCH.CN,NCH,,
Promigas SA ESP,PMG.CN,PMGX,,
Armada Mercantile Ltd,ARM.CD,,,
Hidrostal SA,HIDROSI1.LM,,,
Bellsouth LLC,BLS.N^A07,TBLLS,,
Gillette Co,G.N^J05,PGGIL,,
Agro Industrial Paramonga SA,PARAMOC1.LM,PARAZ,,
Total Telcom Inc,TTZ.V,,,
Equity Office Properties Trust,EOP.N^B07,EQOPT,,
ENGIE Brasil Energia SA,EGIE3.SA,EGIEC,,
Blue Horizon Global Capital Corp,BHCC.CD,,,
GardaWorld Security Corp,GW.TO^K12,DRNPER,,
National Rural Utilities Cooperative Finance Corp,NRU.N^L01,NRUC,,
Empresa Agricola San Juan SA,ASJUANC1.LM,,,
Agricola Cayalti SAA,CAYALTC1.LM,,,
Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP,SBSP3.SA,SBSPC,,
Gold Merger Sub LLC,PNK.OQ^D16,GLPIG,,
Duncan Fox SA,DUNCANFOX.SN,,,
Neoenergia SA,NEOE3.SA,NEOEC,,
Ecomax Inc,EMAX.PK,,,
Agroindustrial Laredo SAA,LAREDOC1.LM,,,
BBX Capital Corp (Pre-Merger),BBX.N^L16,BBXCPL,,
Vale Fertilizantes SA,FFTL4.SA^L11,VALECT,,
Parlux Holdings Inc,PERFQ.PK^J17,PARLH,,
Kyocera AVX Components Corp,AVX.N^C20,KCERAY,,
ARCpoint Inc,ARC.V,,,
Club Hipico de Santiago SA,HIPICO.SN,,,
Investimentos Bemge SA,FIGE3.SA,,,
Colliers International Group Inc,CIGI.TO,CIGI,,
Schulz SA,SHUL4.SA,,,
Meridian Gold Inc,MDG.N^A08,YRIMG,,
Glacier Oil & Gas Corp,MILLQ.PK^C16,GLCIR,,
Semafo Inc (pre-merger),SMF.TO^G20,SMFX,,
Gateway Inc,GTW.N^J07,ACEHFG,,
Britannia Life Sciences Inc,BLAB.CD,,,
NOVA Chemicals Corp,NCX.TO^G09,MBDVNV,,
Bell MTS Inc,MBT.TO^C17,BCELM,,
RioCan Real Estate Investment Trust,REI_u.TO,REI,,
Carton de Colombia SA,CRT.CN,CRT,,
Banco de Galicia y Buenos Aires SAU,GAL.BA^G15,GGALBN,,
Banco de Venezuela SA Banco Universal,BVL.CR,BVL,,
Colorin Industria de Materiales Sinteticos SA,COLOm.BA,COLO,,
Compania Argentina de Comodoro Rivadavia-Explotacion de Petroleo SA Minera Industria,COMOm.BA,,,
Banco de Credito e Inversiones,BCI.SN,BCI,,
Cresud SACIF y A,CRESm.BA,CRESX,,
Electromac SAIC,EMACm.BA,,,
Envases Venezolanos SA,ENV.CR,,,
CA Fabrica Nacional de Vidrio,FNV.CR,,,
Ferrum SA de Ceramica y Metalurgia,FERRm.BA,FESCM,,
Peruana de Energia SAA,PERENAC1.LM,,,
Garovaglio y Zorraquin SA,GAROm.BA,GARO,,
Grupo Gigante SAB de CV,GIGANTE.MX,GIGAN,,
Grupo Palacio de Hierro SAB de CV,GPH1.MX,GPHA,,
Importadora y Exportadora de la Patagonia SA,PATAm.BA,PATA,,
Unipar Indupa SAIC,INDUm.BA,INDUZ,,
Instituto Rosenbusch SA,ROSEm.BA,,,
Compania Introductora de Buenos Aires SA,INTRm.BA,INTRZ,,
Kimberly-Clark de Mexico SAB de CV,KIMBERA.MX,KIMBE,,
Ledesma SAAI,LEDEm.BA,LEDE,,
Metro One Telecommunications Inc,WOWI.PK,WOWID,,
Patricios SAIC,PATRm.BA,PTSIC,,
Acerias Paz del Rio SA,APR.CN,APRX,,
Rigolleau SA,RIGOm.BA,RIGO,,
Ynvisible Interactive Inc,YNV.V,,,
CA Telares de Palo Grande,TPG.CR,,,
Clean Air Metals Inc,AIR.V,AIRY,,
Agent Information Software Inc,AIFS.PK^C25,ATIMS,,
Ipal SA,IPAL.SN,,,
