Company Common Name,Instrument,Issuer Ticker,GVKEY,Compustat_Company_Name
Clearfield Inc,CLFD.OQ,CLFD,12482.0,CLEARFIELD INC
CECO Environmental Corp,CECO.OQ,CECE,1050.0,CECO ENVIRONMENTAL CORP
ASA Gold and Precious Metals Ltd,ASA.N,,1062.0,ASA GOLD AND PRECIOUS METALS
Vaso Corp,VASO.PK,VASO,14985.0,VASO CORP
Central and Eastern Europe Fund Inc,CEE.N,,20912.0,CENTRAL AND ESTRN EUR FD INC
PROG Holdings Inc,PRG.N,PRG,1076.0,PROG HOLDINGS INC
G&K Services LLC,GK.OQ^C17,CTASG,4936.0,G&K SERVICES INC  -CL A
Hartford Insurance Group Inc,HIG.N,HIG,61739.0,HARTFORD INSURANCE GROUP INC
GATX Corp,GATX.N,GATX,4941.0,GATX CORP
Abbott Laboratories,ABT.N,ABT,1078.0,ABBOTT LABORATORIES
Abcourt Mines Inc,ABI.V,,,
Dominion Diamond Corp,DDC.TO^K17,WASGTO,15533.0,DOMINION DIAMOND CORP
ABIOMED Inc,ABMD.OQ^L22,JNJAB,13619.0,ABIOMED INC
Just Energy Group Inc,JEh.V^L22,JTEGG,143403.0,JUST ENERGY GROUP INC
Abraxas Petroleum Corp,AXOA.MU^H23,AXAS,24005.0,ABRAXAS PETROLEUM CORP/NV
Goldgroup Mining Inc,GGA.V,,184800.0,GOLDGROUP MINING INC
Tri Harbor Holdings Corp,ACETQ.PK^J19,ACET,,
G-III Apparel Group Ltd,GIII.OQ,GIII,19402.0,G-III APPAREL GROUP LTD
Morguard Corp,MRC.TO,MRC,1096.0,MORGUARD CORP
ACMAT Corp,ACMTA.PK,ACMTA,,
Acme United Corp,ACU.A,ACUX,1104.0,ACME UNITED CORP
Arthur J. Gallagher & Co.,AJG.N,AJG,4973.0,ARTHUR J GALLAGHER & CO
PetroQuest Energy Inc,PQUEQ.PK^B19,PQUGY,25874.0,PETROQUEST ENERGY INC
Alimentation Couche-Tard Inc,ATD.TO,ATD,64655.0,ALIMENTATION COUCHE-TARD INC
ALUF Holdings Inc,AHIX.PK,AHIX,,
Liveramp Holdings Inc,RAMP.N,RAMP,2536.0,LIVERAMP HOLDINGS INC
Tegna Inc,TGNA.N,TGNA,4988.0,TEGNA INC
Adams Diversified Equity Fund Inc,ADX.N,ADX,1119.0,ADAMS DIVERSIFIED EQUITY FD
Adams Resources & Energy Inc,AE.A^B25,AREEUD,1121.0,ADAMS RESOURCES & ENERGY INC
Gap Inc,GAP.N,GAP,4990.0,GAP INC
Steel Excel Inc,SXCL.PK^B17,SPLPST,12256.0,STEEL EXCEL INC
ADDvantage Technologies Group Inc,AEYGQ.PK,AEYGQ,24428.0,ADDVANTAGE TECHNOLOGIES GP
Function(X) Inc,FNCX.PK^K18,FUCTI,11708.0,FUNCTION(X) INC
Adobe Inc,ADBE.OQ,ADBE,12540.0,ADOBE INC
Gencor Industries Inc,GENC.A,GENCX,7185.0,GENCOR INDUSTRIES INC
Heron Therapeutics Inc,HRTX.OQ,HRTXX,13786.0,HERON THERAPEUTICS INC
Aerojet Rocketdyne Holdings Inc,AJRD.N^G23,LHXXA,5018.0,AEROJET ROCKETDYNE HOLDINGS
DENTSPLY SIRONA Inc,XRAY.OQ,XRAY,13700.0,DENTSPLY SIRONA INC
General American Investors Co Inc,GAM.N,GAM,5024.0,GENERAL AMERICAN INVESTORS
Allied Resources Inc,ALOD.PK,,196766.0,ALGOLD RESOURCES LTD
Petrichor Energy Inc,PTPh.V,PTPX,21222.0,PETRO-VICTORY ENERGY CORP
General Dynamics Corp,GD.N,GD,5046.0,GENERAL DYNAMICS CORP
Advanced Micro Devices Inc,AMD.OQ,AMD,1161.0,ADVANCED MICRO DEVICES
Moistureshield Inc,AERT.PK^E17,CRHMOI,,
General Electric Co,GE.N,GE,5048.0,GENERAL ELECTRIC CAP CORP
GEE Group Inc,JOB.A,JOB,5050.0,GEE GROUP INC
General Mills Inc,GIS.N,GIS,5071.0,GENERAL MILLS INC
Peraton Enterprise Solutions LLC,EDS.N^H08,PRSPU,,
Agnico Eagle Mines Ltd,AEM.TO,AEM,1186.0,AGNICO EAGLE MINES LTD
Genesco Inc,GCO.N,GCO,5109.0,GENESCO INC
Air Products and Chemicals Inc,APD.N,APD,1209.0,AIR PRODUCTS & CHEMICALS INC
Fuel Systems Solutions Inc,FSYS.OQ^F16,WPRTF,12559.0,FUEL SYSTEMS SOLUTIONS INC
Air T Inc,AIRT.OQ,AIRT,1210.0,AIR T INC
Airgas Inc,ARG.N^E16,AIRPG,12950.0,AIRGAS INC
Gentex Corp,GNTX.OQ,GNTX,5116.0,GENTEX CORP
Akorn Inc,AKRXQ.PK^J20,AKN,,
Clearone Inc,CLRO.OQ,CLRO,18549.0,CLEARONE INC
Giftify Inc,GIFT.OQ,GIFT,34645.0,GIFTIFY INC
Genuine Parts Co,GPC.N,GPC,5125.0,GENUINE PARTS CO
Alaska Air Group Inc,ALK.N,ALK,1230.0,ALASKA AIR GROUP INC
Atrion Corp,ATRI.OQ^H24,NDSNAO,1234.0,ATRION CORP
Albany International Corp,AIN.N,AIN,,
Genzyme Corp,GENZ.OQ^D11,SASYGE,12233.0,GENZYME CORP
