gvkey,sich
177109,7359
177111,4822
177124,4922
177225,3674
177227,3841
177257,3661
177300,6036
177367,2833
177376,6141
177405,1040
177429,7370
177487,1381
177528,8742
177640,6331
177701,4812
177744,7371
177780,7389
177871,7371
177881,3845
177884,1311
177924,5912
177930,7389
177943,7389
177966,3714
177975,5900
177983,8742
177996,6331
178015,2300
178081,7389
178084,2060
178157,3841
178310,7372
178371,6331
178413,2833
178494,4899
178507,7389
178518,4899
178519,6200
178539,6798
178545,6022
178552,7359
178610,6500
178672,2911
178674,1311
178704,5990
178797,8200
178803,8051
178806,5211
178814,6282
178823,6331
178834,6035
178851,1389
178862,6798
178870,1311
178874,1040
178973,5990
178974,3533
178976,8200
178997,1040
179048,6022
179058,3640
179060,1040
179077,6500
179084,7372
179087,4400
179132,1600
179202,4899
179234,6035
179249,3360
179298,6021
179413,3841
179428,2834
179437,4941
179441,8093
179461,2834
179534,7389
179577,3842
179583,3661
179598,2835
179621,2111
179657,3990
179671,2834
179686,2834
179690,7372
179731,2834
179738,3559
179741,6282
179782,1311
179819,3350
179834,8071
179840,3826
179841,2860
179843,1400
179889,6798
179957,4731
179974,6331
180016,5084
180057,2836
180081,6199
180083,8200
180109,6035
180167,4841
180169,6022
180183,6036
180228,6798
180229,8711
180272,7372
180367,1040
180395,6531
180401,1311
180402,5940
180405,7372
180423,6163
180466,3550
180474,3560
180475,1040
180562,4731
180646,1623
180652,7374
180683,2834
180822,8742
180833,2000
180905,7372
180958,6035
181070,3841
181104,7373
181269,2860
181290,7373
181327,1040
181745,1389
181820,6036
181904,4899
181931,2631
181989,1400
182308,7372
182309,2834
182701,6500
182826,2834
183029,6798
183108,6798
183247,6035
183257,3841
183283,8082
183322,2834
183324,6798
183366,7011
183377,3577
183388,6798
183524,7812
183528,6221
183547,3812
183581,5500
183591,4911
183593,2834
183602,2836
183603,6282
183612,3661
183636,8741
183640,4899
183669,2834
183684,7363
183704,2911
183729,2834
183736,3621
183780,6798
183797,6211
183799,7310
183822,6798
183826,6022
183830,6798
183833,6500
183902,6500
183903,4899
183942,3823
183945,2834
183963,6798
183974,7372
184040,1311
