gvkey,year,total_assets,market_cap
4331.0,2013,2145045000,974946279.76
4331.0,2014,2371056000,1291877971.54
4331.0,2015,2446645000,1229108079.43
4331.0,2015,2446645000,
4331.0,2016,,1503175096.08
105996.0,2009,7305929,
105996.0,2010,3107406,1305529.73999999
105996.0,2011,,1015412.02
105996.0,2011,2126136,
105996.0,2012,1927743,580235.439999999
105996.0,2013,1626107,362647.15
105996.0,2014,1441903,942882.589999999
105996.0,2015,567883,1015412.02
105996.0,2016,,580235.44
105996.0,2016,553004,
105996.0,2017,,1922029.89499999
105996.0,2017,507584,
105996.0,2018,12854331,1885765.18
105996.0,2019,11545442,1087941.45
105996.0,2020,4541422,1958294.60999999
105996.0,2021,5091142,2175882.9
105996.0,2022,,2212147.615
105996.0,2022,6971783,
105996.0,2023,,1704441.605
4351.0,2009,3803118000,
4351.0,2010,4363560000,3467713323.64
4351.0,2011,,3603945400.0
4351.0,2011,5237416000,
4351.0,2012,6175890000,3253087804.23
4351.0,2013,6622212000,5109864272.5
4351.0,2014,6138258000,4667459559.44
4351.0,2015,4611156000,3229935307.71
4351.0,2016,,5598219748.48
4351.0,2016,4579823000,
4351.0,2017,,5595915916.08
4351.0,2017,5033895000,
4351.0,2018,,7033694767.08
20214.0,2009,5614675793.87716,
20214.0,2010,5507355272.39892,5421787915.38999
20214.0,2011,,4677826029.8
20214.0,2011,5614943588.73737,
20214.0,2012,3647231125.89457,2559628629.59999
20214.0,2013,3466854048.96422,3907453527.6
20214.0,2014,3470039593.73386,2298806706.17999
20214.0,2015,1865188236.14423,980858047.25
20214.0,2016,,3063752515.45999
20214.0,2016,1964892032.76247,
20214.0,2017,,2980607312.94999
20214.0,2017,2103706766.31947,
20214.0,2018,2286646623.15759,2588311922.39999
20214.0,2019,1975821654.08902,2051129234.25
20214.0,2020,1152418000.0,885739447.999999
20214.0,2021,1990084000.0,3254960000.0
20214.0,2022,,5297607964.3
20214.0,2022,1937981000.0,
20214.0,2023,,4143772487.58
4367.0,2009,18696690000,
4367.0,2010,19199000000,16904485189.2
4367.0,2011,,11039557964.88
4367.0,2011,21051000000,
4367.0,2012,22795000000,8557603089.99
4367.0,2013,21977000000,11917931152.32
4367.0,2014,18889000000,8860391800.25
4367.0,2015,14760000000,6536168630.55
4367.0,2016,,4895083982.46
4367.0,2016,12664000000,
4367.0,2017,,4138839045.33
4367.0,2017,9747000000,
4367.0,2018,6601000000,559515660.171
4367.0,2019,,36710964.9181889
4367.0,2019,7293000000,
4367.0,2020,5434000000,420104136.0
4367.0,2021,4774000000,1944881908.19999
4367.0,2022,,3595391897.88
4367.0,2022,4720000000,
4367.0,2023,,7055362148.84999
4390.0,2010,432699000,
4390.0,2010,,443242242.9
4390.0,2011,473728000,
4390.0,2011,,347332478.5
4390.0,2012,531962000,
4390.0,2012,,404639786.46
4390.0,2013,495292000,
4390.0,2013,,464208625.2
4390.0,2014,536347000,
4390.0,2014,,351047542.92
4390.0,2015,453262000,
4390.0,2015,,496862250.5
4390.0,2016,390044000,
4390.0,2016,,443722832.05
4390.0,2017,324285000,
4390.0,2017,,527400467.5
4390.0,2018,329439000,
4390.0,2018,,502895258.25
4390.0,2019,363085000,
4390.0,2019,,564222446.949999
4390.0,2020,365699000,
4390.0,2020,,465341342.55
4390.0,2021,364388000,
4390.0,2021,,508145328.18
4390.0,2022,368844000,
4390.0,2022,,572534446.72
4390.0,2023,393835000,
4390.0,2023,,566914655.09
16478.0,2009,18118667000,
16478.0,2010,21624233000,23219579250.45
16478.0,2011,,26484490140.78
16478.0,2011,24838797000,
16478.0,2012,27336578000,32719715869.21
